Instrument,Company Common Name,Date,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score Grade,ESG Combined Score Grade,Environmental Pillar Score Grade,Social Pillar Score Grade,Governance Pillar Score Grade,Price Close,Earnings Per Share - Mean,P/E (Daily Time Series Ratio),Debt - Long-Term - Total,Company Market Cap,TRBC Economic Sector Name
IMI.L,,2021-12-31 00:00:00+00:00,77.1583500522915,76.8913304491172,69.8316019832728,87.0849543777032,A-,A-,A-,B+,A,1822.0,1.2271633,18.788153770005,0.5003,4.6658953012,
IMI.L,,2020-12-31 00:00:00+00:00,70.2208411662493,73.0958396544839,69.3732951217426,67.882070016499,B+,B+,B+,B+,B+,1829.0,1.2271633,18.8603365781224,0.4243,4.6838213534,
IMI.L,,2019-12-31 00:00:00+00:00,67.7521539057012,69.1409647805919,70.7632222738952,62.1377356619782,B+,B+,B+,B+,B,1836.0,1.2271633,18.9325193862399,0.4227,4.7017474056,
IMI.L,,2018-12-31 00:00:00+00:00,62.9125930323717,66.3672069142638,63.9341337753873,57.4277029554807,B,B,B,B,B-,1853.0,1.2274967,19.107820491668,0.3753,4.7452821038,
IMI.L,,2017-12-31 00:00:00+00:00,60.1372084419226,53.0508008794875,65.0406555104968,62.211933582492,B,B,B-,B,B,1826.0,1.2274967,18.8294010889292,0.219,4.6761387596,
IMI.L,,2016-12-31 00:00:00+00:00,58.825392266359,52.467237806516,60.7325277883641,63.954711044875,B,B,B-,B,B,1842.0,1.2274967,18.9943903646263,0.3433,4.7171125932,
IMI.L,,2015-12-31 00:00:00+00:00,60.7197038279189,52.8320901124059,51.2003180009425,82.6658128152368,B,B,B-,B-,A-,1847.0,1.2274967,19.0459495132816,0.2906,4.7299169162,
IMI.L,,2014-12-31 00:00:00+00:00,54.7032735860888,48.6242444525577,50.509718411551,67.4963253307202,B-,B-,C+,B-,B+,1821.0,1.2274967,18.7778419402739,0.2188,4.6633344366,
ICAG.L,International Consolidated Airlines Group SA,2023-12-31 00:00:00+00:00,69.7826419715706,72.3003300330033,53.1131685184959,91.5543543543544,B+,C+,B+,B-,A,312.6,0.54446,7.41705120943639,13.105,15.1368470617613,Industrials
ICAG.L,,2022-12-31 00:00:00+00:00,73.6484280861656,75.3563411896745,59.6246222331128,92.4158822893,B+,B-,A-,B,A+,317.0,0.54446,7.52144988288974,17.141,15.34859061681,
ICAG.L,,2021-12-31 00:00:00+00:00,70.42732922432,71.9527204821322,55.8093686306573,90.2702852702853,B+,B-,B+,B-,A,309.4,0.54446,7.31324585905759,17.084,14.984433725898,
ICAG.L,,2020-12-31 00:00:00+00:00,74.3765901736963,71.9488275815263,66.5551727523986,88.5619935619936,B+,B-,B+,B,A,304.6,0.54446,7.23525360682472,13.464,14.755514171818,
ICAG.L,,2019-12-31 00:00:00+00:00,71.8963763927746,72.0828979449669,63.225007975572,84.4573839662447,B+,C+,B+,B,A,315.9,0.54446,7.50613836686995,12.411,15.306637336029,
ICAG.L,,2018-12-31 00:00:00+00:00,74.4058247009574,64.3726223271678,71.9588524018785,89.0448343079922,B+,B-,B,B+,A,312.8,0.54404,7.45408204767103,6.633,15.160183452264,
ICAG.L,,2017-12-31 00:00:00+00:00,74.4001358725738,78.1156636790439,60.9706701380134,90.0842131724485,B+,B+,A-,B,A,306.8,0.54425,7.33131450697367,6.401,14.87308600414,
ICAG.L,,2016-12-31 00:00:00+00:00,69.0329263321975,75.035027696318,68.9955447429156,62.4856488381079,B+,B+,A-,B+,B,304.5,0.54425,7.32677633860862,7.589,14.76402433779,
ICAG.L,,2015-12-31 00:00:00+00:00,71.8748525263551,72.5549520360841,72.4196861834513,70.3246268482617,B+,B+,B+,B+,B+,296.6,0.54142,7.12670812538069,7.498,14.385183854752,
ICAG.L,,2014-12-31 00:00:00+00:00,63.8084240484915,72.2558027079303,73.4316924386438,40.3487179487179,B,C+,B+,B+,C,298.9,0.54142,7.18302817391731,5.904,14.500606207521,
HSX.L,Hiscox Ltd,2023-12-31 00:00:00+00:00,59.4142193321669,39.994186987785,41.2005322186774,91.8938095238096,B,B,C,C,A+,1077.0,1.70225,6.35872921942184,0.7304,3.66189496537082,Financials
HSX.L,,2022-12-31 00:00:00+00:00,62.673203829083,43.525014194688,47.3309965357012,92.0487428009552,B,B,C+,C+,A+,1048.0,1.70225,6.18750995538913,0.6362,3.56298713024,
HSX.L,,2021-12-31 00:00:00+00:00,59.4628004080564,44.7000228511834,38.7323011396339,93.7405416168857,B,C,C+,C,A+,1035.0,1.70225,6.09821655436763,0.793,3.5187897708,
HSX.L,,2020-12-31 00:00:00+00:00,56.5064702311999,39.603004838299,42.4536652835408,83.9476625069846,B-,C-,C,C+,A,1035.0,1.70225,6.09278367898968,1.0058,3.51994924509597,
HSX.L,,2019-12-31 00:00:00+00:00,56.2189248979916,38.5043494081508,40.8619517214657,85.6419118515893,B-,B-,C,C,A,1039.0,1.70225,6.11633066905341,0.8002,3.56133512863574,
